100.000000,460.517019,1000.000000,460.517019,1000.000000,10000.000000,
200.000000,529.831737,2000.000000,1059.663473,4000.000000,80000.000000,
300.000000,570.378247,3000.000000,1711.134742,9000.000000,270000.000000,
400.000000,599.146455,4000.000000,2396.585819,16000.000000,640000.000000,
500.000000,621.460810,5000.000000,3107.304049,25000.000000,1250000.000000,
600.000000,639.692966,6000.000000,3838.157793,36000.000000,2160000.000000,
700.000000,655.108034,7000.000000,4585.756235,49000.000000,3430000.000000,
800.000000,668.461173,8000.000000,5347.689382,64000.000000,5120000.000000,
900.000000,680.239476,9000.000000,6122.155287,81000.000000,7290000.000000,
1000.000000,690.775528,10000.000000,6907.755279,100000.000000,10000000.000000,
1100.000000,700.306546,11000.000000,7703.372005,121000.000000,13310000.000000,
1200.000000,709.007684,12000.000000,8508.092203,144000.000000,17280000.000000,
1300.000000,717.011954,13000.000000,9321.155406,169000.000000,21970000.000000,
1400.000000,724.422752,14000.000000,10141.918522,196000.000000,27440000.000000,
1500.000000,731.322039,15000.000000,10969.830581,225000.000000,33750000.000000,
1600.000000,737.775891,16000.000000,11804.414253,256000.000000,40960000.000000,
1700.000000,743.838353,17000.000000,12645.252001,289000.000000,49130000.000000,
1800.000000,749.554194,18000.000000,13491.975499,324000.000000,58320000.000000,
1900.000000,754.960917,19000.000000,14344.257414,361000.000000,68590000.000000,
2000.000000,760.090246,20000.000000,15201.804919,400000.000000,80000000.000000,
2100.000000,764.969262,21000.000000,16064.354510,441000.000000,92610000.000000,
2200.000000,769.621264,22000.000000,16931.667807,484000.000000,106480000.000000,
2300.000000,774.066440,23000.000000,17803.528124,529000.000000,121670000.000000,
2400.000000,778.322402,24000.000000,18679.737639,576000.000000,138240000.000000,
2500.000000,782.404601,25000.000000,19560.115027,625000.000000,156250000.000000,
2600.000000,786.326672,26000.000000,20444.493482,676000.000000,175760000.000000,
2700.000000,790.100705,27000.000000,21332.719040,729000.000000,196830000.000000,
2800.000000,793.737470,28000.000000,22224.649149,784000.000000,219520000.000000,
2900.000000,797.246602,29000.000000,23120.151446,841000.000000,243890000.000000,
3000.000000,800.636757,30000.000000,24019.102703,900000.000000,270000000.000000,
3100.000000,803.915739,31000.000000,24921.387910,961000.000000,297910000.000000,
3200.000000,807.090609,32000.000000,25826.899484,1024000.000000,327680000.000000,
3300.000000,810.167775,33000.000000,26735.536567,1089000.000000,359370000.000000,
3400.000000,813.153071,34000.000000,27647.204416,1156000.000000,393040000.000000,
3500.000000,816.051825,35000.000000,28561.813866,1225000.000000,428750000.000000,
3600.000000,818.868912,36000.000000,29479.280848,1296000.000000,466560000.000000,
3700.000000,821.608810,37000.000000,30399.525965,1369000.000000,506530000.000000,
3800.000000,824.275635,38000.000000,31322.474114,1444000.000000,548720000.000000,
3900.000000,826.873183,39000.000000,32248.054145,1521000.000000,593190000.000000,
4000.000000,829.404964,40000.000000,33176.198560,1600000.000000,640000000.000000,
4100.000000,831.874225,41000.000000,34106.843236,1681000.000000,689210000.000000,
4200.000000,834.283980,42000.000000,35039.927178,1764000.000000,740880000.000000,
4300.000000,836.637030,43000.000000,35975.392297,1849000.000000,795070000.000000,
4400.000000,838.935982,44000.000000,36913.183208,1936000.000000,851840000.000000,
4500.000000,841.183268,45000.000000,37853.247041,2025000.000000,911250000.000000,
4600.000000,843.381158,46000.000000,38795.533279,2116000.000000,973360000.000000,
4700.000000,845.531779,47000.000000,39739.993602,2209000.000000,1038230000.000000,
4800.000000,847.637120,48000.000000,40686.581745,2304000.000000,1105920000.000000,
4900.000000,849.699048,49000.000000,41635.253372,2401000.000000,1176490000.000000,
5000.000000,851.719319,50000.000000,42585.965957,2500000.000000,1250000000.000000,
5100.000000,853.699582,51000.000000,43538.678675,2601000.000000,1326510000.000000,
5200.000000,855.641390,52000.000000,44493.352304,2704000.000000,1406080000.000000,
5300.000000,857.546210,53000.000000,45449.949128,2809000.000000,1488770000.000000,
5400.000000,859.415423,54000.000000,46408.432856,2916000.000000,1574640000.000000,
5500.000000,861.250337,55000.000000,47368.768542,3025000.000000,1663750000.000000,
5600.000000,863.052188,56000.000000,48330.922510,3136000.000000,1756160000.000000,
5700.000000,864.822145,57000.000000,49294.862287,3249000.000000,1851930000.000000,
5800.000000,866.561320,58000.000000,50260.556540,3364000.000000,1951120000.000000,
5900.000000,868.270763,59000.000000,51227.975016,3481000.000000,2053790000.000000,
6000.000000,869.951475,60000.000000,52197.088489,3600000.000000,2160000000.000000,
6100.000000,871.604405,61000.000000,53167.868706,3721000.000000,2269810000.000000,
6200.000000,873.230457,62000.000000,54140.288340,3844000.000000,2383280000.000000,
6300.000000,874.830491,63000.000000,55114.320948,3969000.000000,2500470000.000000,
6400.000000,876.405327,64000.000000,56089.940924,4096000.000000,2621440000.000000,
6500.000000,877.955746,65000.000000,57067.123463,4225000.000000,2746250000.000000,
6600.000000,879.482493,66000.000000,58045.844525,4356000.000000,2874960000.000000,
6700.000000,880.986281,67000.000000,59026.080796,4489000.000000,3007630000.000000,
6800.000000,882.467789,68000.000000,60007.809660,4624000.000000,3144320000.000000,
6900.000000,883.927669,69000.000000,60991.009165,4761000.000000,3285090000.000000,
7000.000000,885.366543,70000.000000,61975.657996,4900000.000000,3430000000.000000,
7100.000000,886.785006,71000.000000,62961.735448,5041000.000000,3579110000.000000,
7200.000000,888.183631,72000.000000,63949.221396,5184000.000000,3732480000.000000,
7300.000000,889.562963,73000.000000,64938.096278,5329000.000000,3890170000.000000,
7400.000000,890.923528,74000.000000,65928.341066,5476000.000000,4052240000.000000,
